date,open,high,low,close,volume
2024-01-01 00:00:00,42042.41,42048.35,42039.59,42041.72,210.65
2024-01-01 00:00:15,42039.71,42036.5,42030.0,42030.1,181.0
2024-01-01 00:00:30,42029.75,42177.19,42149.63,42162.85,117.09
2024-01-01 00:00:45,42164.47,42230.44,42223.48,42227.56,183.77
2024-01-01 00:01:00,42226.81,42195.24,42181.14,42188.43,141.86
2024-01-01 00:01:15,42187.94,42157.68,42145.13,42149.13,65.21
2024-01-01 00:01:30,42146.88,42075.13,42060.11,42063.76,139.85
2024-01-01 00:01:45,42061.19,42091.53,42085.71,42090.2,152.73
2024-01-01 00:02:00,42092.19,42100.01,42092.48,42095.88,110.52
2024-01-01 00:02:15,42094.23,41984.44,41970.67,41975.94,121.5
2024-01-01 00:02:30,41977.34,41931.99,41911.58,41925.51,143.64
2024-01-01 00:02:45,41925.91,41907.42,41898.56,41901.06,106.43
2024-01-01 00:03:00,41900.98,41986.26,41953.51,41970.0,125.82
2024-01-01 00:03:15,41972.89,41878.53,41855.27,41867.52,145.43
2024-01-01 00:03:30,41869.58,41931.65,41909.78,41929.37,71.11
2024-01-01 00:03:45,41929.59,41945.63,41938.85,41943.74,120.76
2024-01-01 00:04:00,41942.95,41831.77,41818.14,41819.72,82.81
2024-01-01 00:04:15,41818.3,41775.1,41756.91,41759.52,100.6
2024-01-01 00:04:30,41758.37,41791.49,41777.62,41786.59,120.58
2024-01-01 00:04:45,41790.97,41758.89,41752.84,41754.42,144.1
2024-01-01 00:05:00,41752.94,41842.43,41838.34,41840.53,97.41
2024-01-01 00:05:15,41840.43,41920.79,41917.58,41918.47,77.93
2024-01-01 00:05:30,41922.49,41951.25,41941.44,41946.25,149.6
2024-01-01 00:05:45,41949.62,42042.06,42025.97,42028.1,133.41
2024-01-01 00:06:00,42027.64,42097.15,42076.83,42096.41,115.23
2024-01-01 00:06:15,42094.93,42227.96,42205.42,42210.6,124.5
2024-01-01 00:06:30,42212.27,42242.24,42238.96,42241.12,112.52
2024-01-01 00:06:45,42238.98,42394.08,42356.0,42371.07,165.09
2024-01-01 00:07:00,42367.94,42384.7,42368.5,42378.46,90.93
2024-01-01 00:07:15,42379.54,42361.65,42351.79,42353.13,39.16
2024-01-01 00:07:30,42349.78,42480.27,42469.39,42478.33,80.26
2024-01-01 00:07:45,42476.39,42434.91,42428.73,42434.31,125.24
2024-01-01 00:08:00,42432.49,42518.95,42509.21,42512.01,94.21
2024-01-01 00:08:15,42513.39,42542.77,42533.89,42539.98,73.96
2024-01-01 00:08:30,42540.38,42483.5,42472.56,42480.26,79.54
2024-01-01 00:08:45,42481.3,42466.28,42443.04,42452.44,97.2
2024-01-01 00:09:00,42448.22,42457.99,42449.51,42452.89,92.94
2024-01-01 00:09:15,42451.79,42442.38,42421.52,42432.98,214.59
